procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58516512 164052 3309180    0    0     2     2   17   28  0  0 100  0  0
 0  0      0 58517232 164068 3309168    0    0     0    52 6585 9930  1  0 99  0  0
 0  0      0 58516728 164116 3309188    0    0     0   100 5506 7300  1  0 99  0  0
 0  0      0 58516316 164132 3309172    0    0     0   716 4989 6765  1  0 99  0  0
 0  0      0 58518584 164148 3309188    0    0     0    84 34122 64324  1  2 98  0  0
 1  0      0 58518760 164196 3309188    0    0     0   100 7468 11289  1  0 99  0  0
 1  0      0 58524956 164220 3309164    0    0     0    52 7293 11039  1  0 99  0  0
 4  0      0 58517680 164220 3309188    0    0     0  1384 7678 10606  1  1 98  0  0
 0  0      0 58531348 164252 3309196    0    0     0   212 17781 31681  1  1 99  0  0
 1  0      0 58531116 164252 3309200    0    0     0     0 6750 10040  1  0 99  0  0
 0  0      0 58531116 164292 3309184    0    0     0   256 12887 22188  1  1 99  0  0
 0  0      0 58531116 164316 3309176    0    0     0    52 16540 29526  1  1 99  0  0
 1  0      0 58534588 164316 3309200    0    0     0     0 9619 15948  1  1 99  0  0
 0  0      0 58549348 164372 3309236    0    0     0   220 9368 15573  0  0 99  0  0
 0  0      0 58553608 164388 3309220    0    0     0   316 9843 16115  1  0 99  0  0
 0  0      0 58557112 164396 3309020    0    0     0   380 8664 13949  1  0 99  0  0
 1  0      0 58552888 164444 3308980    0    0     0   164 11266 19006  1  1 99  0  0
 5  0      0 58552128 164492 3308996    0    0     0   100 10316 17269  1  0 99  0  0
 0  0      0 58551876 164492 3309028    0    0     0     4 11057 18965  1  0 99  0  0
 1  0      0 58548036 164492 3309028    0    0     0     0 10870 18332  1  1 99  0  0
 0  0      0 58553680 164556 3309028    0    0     0   172 18033 32654  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58553172 164572 3309028    0    0     0   128 8244 13325  1  0 99  0  0
 0  0      0 58557148 164572 3309028    0    0     0     0 5952 8984  1  0 99  0  0
 0  0      0 58552420 164596 3309028    0    0     0    56 19772 36059  1  1 98  0  0
 0  0      0 58556900 164596 3309028    0    0     0     0 9375 15649  0  0 99  0  0
 0  0      0 58551164 164660 3309032    0    0     0   348 12312 21554  1  1 99  0  0
 1  0      0 58551164 164660 3309032    0    0     0     8 9065 14943  1  1 99  0  0
 0  0      0 58555388 164676 3309016    0    0     0    56 10140 17052  1  1 99  0  0
 0  0      0 58550912 164700 3309032    0    0     0    56 11289 20062  0  1 99  0  0
 0  0      0 58550404 164748 3308984    0    0     0   104 13708 23838  1  1 98  0  0
 0  0      0 58554884 164764 3309032    0    0     0    36 7571 12024  1  0 99  0  0
 0  0      0 58550404 164764 3309032    0    0     0     4 6619 10167  0  0 99  0  0
 0  0      0 58550152 164788 3309036    0    0     0    68 13826 24602  1  1 99  0  0
 0  0      0 58550152 164804 3309036    0    0     0    40 13840 24518  1  1 98  0  0
 0  0      0 58549684 164852 3309036    0    0     0   104 19924 35690  1  1 98  0  0
 0  0      0 58553908 164852 3309036    0    0     0     0 12839 22304  1  1 99  0  0
 0  0      0 58551204 164876 3309012    0    0     0    56 9070 14991  2  0 98  0  0
 0  0      0 58550840 164876 3308824    0    0     0    12 12678 21070  1  1 98  0  0
 0  0      0 58550844 164900 3308800    0    0     0    84 13123 22452  1  1 99  0  0
 0  0      0 58550588 164972 3308828    0    0     0   156 18094 32157  1  1 98  0  0
 0  0      0 58555324 164972 3308828    0    0     0     0 6880 10884  0  0 100  0  0
 0  0      0 58550588 164972 3308828    0    0     0     0 11263 19256  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58550340 165020 3308796    0    0     0   104 19256 34589  1  1 98  0  0
 0  0      0 58550340 165044 3308836    0    0     0   124 11996 20635  1  1 99  0  0
 0  0      0 58550596 165068 3308812    0    0     0    60 9904 16112  1  0 99  0  0
 1  0      0 58550088 165092 3308836    0    0     0    52 9584 15522  0  0 99  0  0
 0  0      0 58550088 165108 3308820    0    0     0    40 9447 15497  1  1 99  0  0
 1  0      0 58550348 165132 3308828    0    0     0    68 10641 17662  1  1 98  0  0
 1  0      0 58550348 165180 3308832    0    0     0   100 12913 22161  1  1 99  0  0
 0  0      0 58550416 165204 3308816    0    0     0    76 10597 16884  1  1 98  0  0
 0  0      0 58562208 165204 3308840    0    0     0     0 12274 21020  1  1 99  0  0
 0  0      0 58562216 165228 3308816    0    0     0    56 11563 19123  1  1 99  0  0
 0  0      0 58557736 165252 3308816    0    0     0    56 10716 18065  1  1 98  0  0
 0  0      0 58562216 165300 3308800    0    0     0   100 11619 19706  1  0 99  0  0
 1  0      0 58561708 165324 3308840    0    0     0    72 9263 15231  1  0 99  0  0
 0  0      0 58556976 165324 3308840    0    0     0     0 7386 11399  0  0 99  0  0
 0  0      0 58561456 165348 3308840    0    0     0    52 11216 19141  1  1 99  0  0
 0  0      0 58555468 165372 3308824    0    0     0    52 10001 16042  1  1 99  0  0
 0  0      0 58559948 165388 3308824    0    0     0    40 17295 30794  1  1 98  0  0
 0  0      0 58559692 165412 3308840    0    0     0    60 8775 14223  1  0 99  0  0
 0  0      0 58559948 165412 3308840    0    0     0     0 5828 8731  0  0 99  0  0
 0  0      0 58555212 165436 3308840    0    0     0    64 10504 17087  2  2 96  0  0
 0  0      0 58566032 165484 3308792    0    0     0   116 16795 29654  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58565524 165500 3308848    0    0     0    40 8273 13241  1  0 99  0  0
 0  0      0 58565272 165524 3308824    0    0     0    56 11295 19330  1  0 99  0  0
 1  0      0 58565528 165548 3308824    0    0     0    56 12252 21131  1  0 99  0  0
 1  0      0 58565272 165548 3308848    0    0     0     0 10559 17761  1  1 99  0  0
 0  0      0 58569752 165596 3308800    0    0     0   124 14263 24610  1  1 98  0  0
 0  0      0 58576096 165612 3308852    0    0     0    36 13802 23792  1  1 99  0  0
 0  0      0 58571616 165636 3308852    0    0     0   240 9185 14566  0  0 99  0  0
 0  0      0 58571116 165660 3308828    0    0     0   108 8951 13959  1  0 99  0  0
 0  0      0 58575348 165660 3308856    0    0     0     0 7436 11347  1  0 99  0  0
 0  0      0 58570360 165724 3308816    0    0     0   132 13520 22670  1  1 98  0  0
 0  0      0 58575096 165748 3308856    0    0     0   108 7216 10827  1  0 99  0  0
 0  0      0 58574840 165748 3308856    0    0     0     4 6634 9994  1  0 99  0  0
 0  0      0 58570360 165772 3308852    0    0     0    60 9100 14063  1  0 99  0  0
 0  0      0 58570616 165796 3308852    0    0     0    56 9367 14977  1  0 99  0  0
